,sexo,edad,zona_u_r,gse,esc_nivel_1,info_enc_58,info_enc_30,religion_82,iden_pol_2,iden_pol_3,interes_pol_1_b,region_ANTOFAGASTA,region_ARAUCANÍA,region_ARICA Y PARINACOTA,region_ATACAMA,region_AYSÉN,region_BIOBÍO,region_COQUIMBO,region_LIBERTADOR BERNARDO OHIGGINS,region_LOS LAGOS,region_LOS RÍOS,region_MAGALLANES,region_MAULE,region_METROPOLITANA,region_TARAPACÁ,region_VALPARAÍSO,region_ÑUBLE,elec_pres_144_a,pred
67,1,59,1,4,8,2,0.0,9,4,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
68,2,76,1,3,2,1,5.0,1,6,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
69,2,58,1,4,2,2,0.0,1,10,15,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
70,2,71,1,3,4,2,0.0,1,5,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0
71,2,36,1,4,3,1,5.0,1,7,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
72,2,60,1,4,2,2,0.0,2,5,9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
73,2,74,1,3,2,2,0.0,1,99,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
74,2,63,1,3,4,2,0.0,1,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
75,2,48,1,3,4,2,0.0,1,99,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
76,1,55,1,3,4,2,0.0,1,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0
77,2,34,1,4,4,2,0.0,9,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
78,1,32,1,3,8,2,0.0,1,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
79,2,32,1,3,5,2,0.0,8,5,13,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
80,1,59,1,3,2,2,0.0,1,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
81,2,28,1,4,6,2,0.0,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
82,2,42,1,4,3,2,0.0,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
83,2,50,1,2,8,2,0.0,1,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
84,2,46,2,3,4,2,0.0,9,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
85,2,56,1,3,3,2,0.0,9,3,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
