,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
168,1,1,41,2,6,7,2,1,49,12,3,18,1
169,1,1,46,2,3,3,1,0,39,2,6,22,0
170,1,2,67,2,99,2,2,0,42,2,3,6,0
171,1,1,67,3,99,5,3,1,36,2,3,20,1
172,2,2,32,4,5,6,2,0,32,1,6,15,1
173,3,2,32,4,4,3,2,0,49,11,6,15,0
174,1,2,34,3,6,7,2,1,36,2,6,1,1
175,1,2,31,1,99,1,2,0,55,11,4,8,0
176,1,1,35,3,4,6,2,0,6,3,8,21,0
177,1,1,55,1,3,2,3,0,26,2,3,15,0
178,1,1,37,3,4,4,2,0,19,2,6,21,0
179,1,1,76,2,6,7,1,1,36,2,6,1,1
180,1,2,59,4,1,1,2,0,34,12,7,10,0
181,1,1,35,2,5,5,2,1,17,12,6,15,1
182,1,2,45,1,2,2,1,0,42,10,7,18,0
183,1,2,63,1,6,7,2,1,1,1,7,19,1
184,1,1,49,3,2,1,1,0,6,10,6,8,0
185,3,2,33,4,4,2,2,0,6,2,2,7,0
186,1,1,27,4,4,4,2,0,29,11,2,4,0
187,3,2,37,4,99,1,4,0,59,1,2,9,0
188,1,1,38,4,4,3,2,0,24,10,8,22,0
189,1,1,32,1,6,6,2,1,45,1,6,15,1
190,1,2,31,4,7,7,3,1,39,3,3,19,1
191,1,1,55,3,99,3,4,0,6,11,2,16,0
192,1,2,52,2,4,5,2,1,36,12,2,-9,1
193,1,1,28,3,5,6,2,1,13,3,6,16,1
194,1,1,70,1,99,7,3,1,26,1,3,10,1
195,1,1,75,3,6,5,2,0,6,1,8,16,1
196,1,1,58,3,1,1,1,0,9,1,4,22,0
197,2,2,55,2,99,2,3,0,13,12,4,8,0
198,2,2,30,4,99,2,4,0,17,12,7,10,0
199,1,1,75,1,4,1,1,0,27,2,2,18,0
200,2,2,26,4,3,1,3,0,39,12,8,7,0
201,3,2,65,3,2,1,2,0,6,12,6,17,0
202,1,2,72,4,99,2,2,1,13,12,1,-9,1
203,1,1,72,3,6,7,2,1,53,1,7,12,1
204,1,1,53,3,5,6,2,0,25,1,7,-9,1
205,1,2,64,2,99,2,2,1,36,2,3,5,0
206,1,1,79,2,2,1,1,0,42,2,4,10,0
207,1,1,69,2,4,2,3,0,35,10,3,10,0
208,1,2,53,2,6,5,1,1,25,1,3,7,1
209,1,1,59,2,3,3,2,0,53,12,2,20,0
210,1,2,61,4,4,1,2,0,6,12,8,19,0
211,1,1,67,1,6,7,1,1,22,1,7,19,1
212,1,2,48,3,1,1,1,0,13,12,8,19,0
213,1,1,44,1,5,5,1,0,13,9,7,22,1
214,1,2,80,3,3,2,2,0,55,2,2,5,0
215,2,2,69,4,5,3,4,0,59,12,2,1,0
216,2,2,50,2,99,2,3,0,36,11,1,1,0
217,3,1,73,4,2,2,2,0,12,2,8,20,0
218,2,2,63,4,3,1,2,0,36,1,6,13,0
219,1,1,55,2,5,6,2,1,55,1,2,7,1
220,1,1,62,3,6,7,1,1,42,1,6,4,1
221,1,2,45,3,5,6,2,0,29,1,6,20,1
222,1,2,55,2,99,6,3,1,34,1,7,18,1
223,1,1,33,4,3,1,1,0,27,1,7,6,0
224,1,2,41,4,5,2,2,0,24,11,6,17,0
225,2,2,69,4,4,1,2,0,12,11,8,10,0
226,1,2,77,1,3,1,2,0,36,2,3,1,0
227,3,2,59,2,4,1,3,0,48,2,2,16,0
228,1,2,33,4,2,1,2,0,24,12,8,21,0
229,4,2,39,4,2,1,3,0,53,12,3,18,0
230,1,2,55,4,99,1,2,0,39,12,4,15,0
231,1,2,47,2,4,3,2,0,41,1,4,16,0
232,1,1,72,2,3,3,1,0,30,2,6,10,0
233,3,1,35,1,2,1,3,0,6,10,6,7,0
234,1,1,74,3,5,5,2,1,39,1,8,16,1
235,5,2,63,2,4,3,1,0,26,-9,3,-9,0
236,1,2,36,4,99,6,3,1,48,3,5,2,1
237,1,2,65,4,2,1,1,0,20,2,3,18,0
238,1,2,65,3,2,1,1,0,17,1,6,9,0
239,4,1,39,4,6,7,3,1,6,3,6,15,1
240,1,2,55,4,2,1,1,0,34,5,6,8,0
241,1,2,54,3,3,3,3,0,16,2,6,15,0
242,1,1,56,2,6,7,1,1,17,1,6,17,1
243,1,1,50,1,4,2,2,0,6,12,6,22,0
